epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,0.6752899044822244,0.571764705882353,0.5715479154134928,0.6455515829086304,0.6152,0.6123951604567637
2,0.5842800488219542,0.6941176470588235,0.6940355908344746,0.4873736817836761,0.7810666666666667,0.7809200837025818
3,0.40535777568256154,0.8264941176470588,0.8264815288279383,0.449633758076032,0.8133333333333334,0.8097308223890503
4,0.277303891619514,0.8877647058823529,0.8877642025688808,0.33473013195991513,0.8605333333333334,0.8603680985264055
5,0.20156982815686394,0.9271058823529412,0.927105855071866,0.323319574646155,0.8712,0.8711995512019917
6,0.14196123041265152,0.9516235294117648,0.9516234677040663,0.35340226620634396,0.8669333333333333,0.8669242392315664
